OBJECTID,SampleID,Ename,ID_Number,Peviously_Marked,Marked_mussel,Status,Sex,Gravidity,Age,Length,Height,VoucherLocation,VoucherType,ZebrasAttached,Comments,Northing,Easting,Method,NumberLive,NUM5YEAR,NumZebrasAttached1,PerZebraCoverage1,Listed_old,Tolerant_old,Lampsilini_old,Juveniles_old,Over_15yrs_old,tribe_old
1,201009211401.000000000000000,Quadrula quadrula,,No,No,Live,,,15,82,,,,No,,4743506.006200000643730,655378.984500000253320,Quantitative,1,0,0,0,0,1,0,0,1,Quadrulini
2,201009211401.000000000000000,Amblema plicata,,No,No,Fresh Dead,,,,,,,,,,4743506.006200000643730,655378.984500000253320,Quantitative,0,0,,,0,1,0,0,0,Amblemini
3,201009211401.000000000000000,Amblema plicata,,No,No,Weathered Dead,,,,,,,,,,4743506.006200000643730,655378.984500000253320,Quantitative,0,0,,,0,1,0,0,0,Amblemini
4,201009211401.000000000000000,Leptodea fragilis,,No,No,Weathered Dead,,,,,,,,,,4743506.006200000643730,655378.984500000253320,Quantitative,0,0,,,0,0,1,0,0,Lampsilini
5,201009211401.000000000000000,Truncilla truncata,,No,No,Weathered Dead,,,,,,,,,,4743506.006200000643730,655378.984500000253320,Quantitative,0,0,,,0,0,1,0,0,Lampsilini
6,201009211401.000000000000000,Obliquaria reflexa,,No,No,Fresh Dead,,,,,,,,,,4743506.006200000643730,655378.984500000253320,Quantitative,0,0,,,0,1,1,0,0,Lampsilini
7,201009211404.000000000000000,Quadrula quadrula,,No,No,Live,,,14,72,,,,No,,4743524.997199999168515,655347.979399999603629,Quantitative,1,0,0,0,0,1,0,0,0,Quadrulini
8,201009211404.000000000000000,Amblema plicata,,No,No,Live,,,11,70,,,,No,,4743524.997199999168515,655347.979399999603629,Quantitative,1,0,0,0,0,1,0,0,0,Amblemini
9,201009211404.000000000000000,Amblema plicata,,No,No,Live,,,10,72,,,,No,,4743524.997199999168515,655347.979399999603629,Quantitative,1,0,0,0,0,1,0,0,0,Amblemini
10,201009211404.000000000000000,Quadrula pustulosa pustulosa,,No,No,Live,,,11,60,,,,No,,4743524.997199999168515,655347.979399999603629,Quantitative,1,0,0,0,0,0,0,0,0,Quadrulini
