species, tribe
Amblema plicata, Amblemini
Elliptio dilatata, Pleurobemini
Fusconaia flava, Pleurobemini
Pleurobema sintoxia, Pleurobemini
Megalonaias nervosa, Quadrulini
Quadrula metanerva, Quadrulini
Quadrula nodulata, Quadrulini
Quadrula pustulosa pustulosa, Quadrulini
Quadrula quadrula, Quadrulini
Arcidens confragosus, Anodontini
Lasmigona complanata complanata, Anodontini
Pyganodon grandis, Anodontini
Strophitus undulate, Anodontini
Utterbackia imbecillis, Anodontini
Actinonaias ligamentina, Lampsilini
Ellipsaria lineolata, Lampsilini
Lampsilis cardium, Lampsilini
Lampsilis higginsii, Lampsilini
Lampsilis siliquoidea, Lampsilini
Lampsilis teres teres, Lampsilini
Leptodea fragilis, Lampsilini
Ligumia recta, Lampsilini
Obliquaria reflexa, Lampsilini
Obovaria olivaria, Lampsilini
Potamilus alatus, Lampsilini
Potamilus ohiensis, Lampsilini
Toxolasma parvus, Lampsilini
Truncilla donaciformis, Lampsilini
Truncilla truncate, Lampsilini
